tau,mean_pair_cos,mean_min_pair_cos,clusters,largest_cluster
0.98,nan,nan,1612,1
0.97,nan,nan,1612,1
0.96,nan,nan,1612,1
0.95,nan,nan,1612,1
0.94,0.94036645,0.94036645,1611,2
0.93,0.94036645,0.94036645,1611,2
0.92,0.9295413,0.9295413,1609,2
0.91,0.92284554,0.92284554,1606,2
0.9,0.91653126,0.91653126,1603,2
0.89,0.90103054,0.9000403,1591,3
0.88,0.89340687,0.8915906,1574,3
0.87,0.881709,0.88281244,1557,4
0.86,0.86393887,0.8727739,1534,6
0.85,0.84448695,0.8522792,1489,8
0.84,0.82746935,0.8340744,1435,11
0.83,0.75396013,0.8204017,1358,37
0.82,0.73064715,0.804868,1267,42
0.81,0.6485011,0.79428583,1139,213
0.8,0.62906283,0.78730327,1003,361
0.79,0.6133346,0.7907276,842,603
0.78,0.60675335,0.77776635,701,773
0.77,0.59653187,0.7647698,560,954
0.76,0.5914984,0.7473817,432,1111
0.75,0.58557236,0.7528453,316,1265
0.74,0.581992,0.7312564,230,1357
0.73,0.5789,0.719703,171,1433
0.72,0.5767516,0.6908584,122,1485
0.71,0.57452244,0.6717258,77,1529
0.7,0.5727625,0.58883613,46,1564
0.69,0.57155436,0.33499098,26,1587
0.68,0.570999,0.33499098,15,1598
0.67,0.5706009,0.33499098,8,1605
0.66,0.57024956,0.33499098,3,1610
0.65,0.57019603,0.33499098,2,1611
0.64,0.5701047,0.33499098,1,1612
0.63,0.5701047,0.33499098,1,1612
0.62,0.5701047,0.33499098,1,1612
0.61,0.5701047,0.33499098,1,1612
0.6,0.5701047,0.33499098,1,1612
0.59,0.5701047,0.33499098,1,1612
0.58,0.5701047,0.33499098,1,1612
0.57,0.5701047,0.33499098,1,1612
0.56,0.5701047,0.33499098,1,1612
0.55,0.5701047,0.33499098,1,1612
0.54,0.5701047,0.33499098,1,1612
0.53,0.5701047,0.33499098,1,1612
0.52,0.5701047,0.33499098,1,1612
0.51,0.5701047,0.33499098,1,1612
0.5,0.5701047,0.33499098,1,1612
