l4_id,global_source_id,input_text_hash,top1_l3_id,top1_semantic_score,top1_composite_score,semantic_margin,composite_margin,anchor_top1_votes,eligible_l3_ids,gap_sentinels,decision,abstention_reason
RAI4-0001,AGENTBENCH-REF-0001,7ed14cbc2621e9a7c6d37d78813d3a28911df2e58405b4c141d91b90776734e9,RAI3-A-SYS-06,0.672094,0.504071,0.006236,0.004677,1,[],"[""ROBUSTNESS_ALIGNMENT_CONTROL""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0002,AGENTBENCH-REF-0002,5455b6ad2c682ea50a6f0588b38c547214fb0dc19481f973ec6117d346ba663b,RAI3-A-SYS-01,0.669099,0.501824,0.069813,0.05236,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0003,AGENTBENCH-REF-0003,d0017f4b75d59517d371f3b44c2cef644c34f90c4ec02d3b6e509d4aaf36c597,RAI3-A-SYS-01,0.636126,0.477094,0.017963,0.013472,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0004,AGENTBENCH-REF-0004,8ed2a7fcd8924be6d23169df35c749e809f66022b0164e5c1571a2bcae0cb6c7,RAI3-A-SYS-01,0.659306,0.49448,0.020836,0.015627,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0005,AGENTBENCH-REF-0005,a4c584ee383b30d71ab5c196ed41574abea990d840778b6388ce4448287c6a8c,RAI3-A-SYS-02,0.619327,0.464495,0.037098,0.027824,2,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0006,AGENTBENCH-REF-0006,b9d523bd5d57f716ff6f38c4aca758454e58074b1e51d1a7b6ce1c5e63cf9275,RAI3-A-SYS-02,0.593266,0.444949,0.01021,0.007658,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0007,AGENTBENCH-REF-0007,d8f8ecc74d8492c8b8341a04e7ed2b5ee4aa62a357481b34f3e8299600181f33,RAI3-A-SYS-03,0.631602,0.633702,0.031344,0.183508,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0008,AGENTBENCH-REF-0008,ed8bdb3f989c2f5277a535814ffbd3e1ece3ba58d0a7239d0def91484950dc49,RAI3-A-SYS-03,0.61904,0.62428,0.049903,0.118718,0,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0009,AGENTBENCH-REF-0009,41c31f6eb410e1ad7d16ece8b5c90a769e35b16a52e86258931e522211a4e3b1,RAI3-A-SYS-03,0.644024,0.643018,0.016283,0.012212,2,[],"[""PHYSICAL_OUTSIDE_LOCK""]",needs_taxonomy_decision,PHYSICAL_OUTSIDE_LOCK
RAI4-0010,AGENTBENCH-REF-0010,8a248c789535bd5d4708d2b7fc5b0701282cf3fed4fab0268f46a8c7d55f0321,RAI3-A-SYS-01,0.673418,0.505063,0.030645,0.022984,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0011,AGENTBENCH-REF-0011,0c1d40380e1380627c86f8c78e6e44f53dafb71ff9749479a2b785c8bce3d4e8,RAI3-A-SYS-03,0.621471,0.466103,0.008562,0.006421,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0012,AGENTBENCH-REF-0012,80bf380f7ffd768ceda455050138e15b9589894502f310575519b044f433baa2,RAI3-A-SYS-01,0.714594,0.535945,0.054853,0.041139,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0013,AGENTBENCH-REF-0013,00d8cd3fdafb3bf0be25209331108d580193355335450d6edc740885ec07d4c8,RAI3-A-SYS-01,0.651811,0.488858,0.004141,0.003105,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0014,AGENTBENCH-REF-0014,9e712c467e5c40813ae69eda9c8ce88e02697c57ac889ca17bfae2534eabddeb,RAI3-A-SYS-06,0.633668,0.475251,0.020373,0.01528,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0015,AGENTBENCH-REF-0015,3ac05b7e588604295c014e92e8b83fa5620cf6f43d38fd923da5e1d1db88d6f4,RAI3-A-SYS-01,0.638071,0.478553,0.006655,0.004992,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0016,AGENTBENCH-REF-0016,f20d4c48d5d10a87ef78ff3b262415ae642730ee91ce20c3331532224f6bef9f,RAI3-A-SYS-01,0.652656,0.489492,0.01167,0.008753,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0017,AGENTBENCH-REF-0017,ac2d19ad8dfac416df999b0cc6b861679e5601aae1d2da06119b5cb69dbc4b60,RAI3-A-SYS-06,0.632867,0.47465,0.014954,0.011216,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0018,AGENTBENCH-REF-0018,908b6f019380215bd2a2b1ea39f79686a4eff981117c4e8008aa467acedc60da,RAI3-A-SYS-04,0.590005,0.442504,0.003093,0.00232,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0019,AGENTBENCH-REF-0019,a31e538e6d386586dbfefb75fa0c735faba7585619ced65aa869b99523bea78c,RAI3-A-SYS-01,0.645238,0.483928,0.021945,0.016459,2,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0020,AGENTBENCH-REF-0020,5d98fce5321a07f2885f23b94f930415a7a3fb5a01e6500cec91b7e8965a0cdb,RAI3-A-SYS-01,0.620214,0.465161,0.024141,0.018106,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0021,AGENTBENCH-REF-0021,152e65a1e37c681b4241e543d85c1754e0db8ce7697f13967ee3fdee99e9da99,RAI3-A-SYS-05,0.653204,0.489903,0.022815,0.017111,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0022,AGENTBENCH-REF-0022,79ec58ddb0af18c34c1510fa828610a6eb786f0feba4d4aa3c2878b02e9ee485,RAI3-G-INT-07,0.679168,0.689376,0.019567,0.194675,2,"[""RAI3-G-INT-07""]",[],needs_taxonomy_decision,LOW_MARGIN
RAI4-0023,AGENTBENCH-REF-0023,60bc1e398766669dcc2e437faecb6b16b2c5e23495bfa6c4c2d711a796de80dc,RAI3-G-INT-03,0.549745,0.622309,0.003956,0.146517,0,"[""RAI3-G-INT-03""]",[],needs_taxonomy_decision,RULE_SEMANTIC_DISAGREEMENT
RAI4-0024,AGENTBENCH-REF-0024,6f3d2ec8f8a35ad993f45cd77d64af524a4d9e5cff24337fdc6ede1a85f733d6,RAI3-A-SYS-02,0.618375,0.463781,0.046615,0.034961,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0025,AGENTBENCH-REF-0025,658a6339844a073a6bf3e69898d85b4e7b936a26733c1c5253675c1add7bb294,RAI3-G-SYS-07,0.604523,0.453392,0.007533,0.00565,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0026,AGENTBENCH-REF-0026,f5cd1b3df373d82b02239a19b52f32aa61fe5fb5b14a47549adc3572becbc7e0,RAI3-A-SYS-01,0.60117,0.450878,0.003799,0.002849,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0027,AGENTBENCH-REF-0027,c590680426c568b46cc78ca7b4e5714b10fee3e2ac88047c2a5296149342c228,RAI3-A-SYS-01,0.660783,0.495588,0.063792,0.047844,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0028,AGENTBENCH-REF-0028,04d616933960b42a9493e86c62143e1edc9218b6fea00ed63b73885da5cd5c74,RAI3-G-SYS-08,0.617918,0.463439,0.010377,0.007782,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0029,AGENTBENCH-REF-0029,96aeffffec2a98cb16cf3f0580c0ba2881d01aa2c6781e6000dd224be3bf0cae,RAI3-G-INT-11,0.623017,0.467263,0.023089,0.017316,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0030,AGENTBENCH-REF-0030,76e0fd7474a6bc29b5810de32ee77223969ec1545ba3460605ba6cd7b482373e,RAI3-A-SYS-01,0.641551,0.481164,0.001486,0.001115,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0031,AGENTBENCH-REF-0031,6e9afd963587addade33b45fccd401f606656f1de42502e6ee203ff51d066d03,RAI3-A-SYS-05,0.559821,0.419866,0.004929,0.003697,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0032,AGENTBENCH-REF-0032,ee3119f94429c73cb66ed72ba5cafae98703765b9ab8402488b14efa07b4d38a,RAI3-G-SYS-08,0.700245,0.525184,0.102249,0.076687,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0033,AGENTBENCH-REF-0033,3f62bfe36e193d56a558840e3ab1b152698ed1e4d2397aeff96fbf61d64bf5f2,RAI3-G-SYS-08,0.627884,0.470913,0.042678,0.032008,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0034,AGENTBENCH-REF-0034,011568980e51710d2dbb86e7869c6a7113e919d85f3198cb4a127acb1b3bfb20,RAI3-G-SYS-08,0.538139,0.403604,0.000631,0.000473,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0035,AGENTBENCH-REF-0035,f717e3dec9685bae4e154d121ba36e84b6e93f05988afea6e6708047bf0ad8ec,RAI3-G-SYS-08,0.610415,0.457811,0.024407,0.018305,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0036,AGENTBENCH-REF-0036,edd4f46c326e92e673d092a7a4514a6b44718837e3ed3bdca8d3ba6582ca65ec,RAI3-A-SYS-02,0.575518,0.431638,0.001121,0.000841,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0037,AGENTBENCH-REF-0037,7fec71fba6d80bad8ab54108136baab2ac5554061dc1a380c02abf16b6578beb,RAI3-A-SYS-01,0.651034,0.488275,0.020546,0.015409,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0038,AGENTBENCH-REF-0038,4130aba929222ba7cdb2a9384b658b87ebaf5ab79382243fe04c7cfc9dcf3901,RAI3-G-SYS-08,0.667639,0.500729,0.061543,0.046157,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0039,AGENTBENCH-REF-0039,6abab79afe2e11c4cbd16dea92d9545839003dbe923ab4fe799c510784333d0c,RAI3-A-SYS-01,0.647946,0.48596,0.012495,0.009371,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0040,AGENTBENCH-REF-0040,136a7d14c95846bbab13f7e5f117cfc9460d87b7a3f92fbdea4bd98e2e91ecc6,RAI3-G-SYS-05,0.588399,0.651299,0.010474,0.202145,1,"[""RAI3-G-SYS-05""]",[],needs_taxonomy_decision,RULE_SEMANTIC_DISAGREEMENT
RAI4-0041,AGENTBENCH-REF-0041,b8819b6b510146a8a6a0a29f8895a2db9015dbc030f189f0871e830b369ae84a,RAI3-A-SYS-05,0.553547,0.41516,0.005647,0.004235,1,[],[],needs_taxonomy_decision,NO_VALID_L3
