source_row_id,source_domain,source_l4_id,final_l4_id,final_l1_id,final_l3_id,status
SRC-G-0001,General,RAI4-0003,A_SYS_SELFCOR_001,L1_A,A_SYS_SELFCOR,ACTIVE
SRC-G-0002,General,RAI4-0021,G_SYS_OREF_001,L1_G,G_SYS_OREF,ACTIVE
SRC-G-0003,General,RAI4-0065,G_SYS_EVAL_010,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0004,General,RAI4-0066,G_SYS_EVAL_025,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0005,General,RAI4-0081,G_SYS_EVAL_019,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0006,General,RAI4-0084,G_SYS_EVAL_018,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0007,General,RAI4-0085,G_SYS_EVAL_031,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0008,General,RAI4-0108,G_SYS_EVAL_020,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0009,General,RAI4-0114,G_SYS_INPUT_006,L1_G,G_SYS_INPUT,ACTIVE
SRC-G-0010,General,RAI4-0182,P_Others_012,L1_P,P_Others,ACTIVE
SRC-G-0011,General,RAI4-0184,P_SYS_CONTROL_016,L1_P,P_SYS_CONTROL,ACTIVE
SRC-G-0012,General,RAI4-0211,A_SYS_GOAL_016,L1_A,A_SYS_GOAL,ACTIVE
SRC-G-0013,General,RAI4-0228,P_INT_SAFETY_009,L1_P,P_INT_SAFETY,ACTIVE
SRC-G-0014,General,RAI4-0233,P_INT_SAFETY_016,L1_P,P_INT_SAFETY,ACTIVE
SRC-G-0015,General,RAI4-0274,P_Others_013,L1_P,P_Others,ACTIVE
SRC-G-0016,General,RAI4-0470,A_SYS_SELFCOR_004,L1_A,A_SYS_SELFCOR,ACTIVE
SRC-G-0017,General,RAI4-0494,G_Others_018,L1_G,G_Others,ACTIVE
SRC-G-0018,General,RAI4-0516,G_SYS_EVAL_029,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0019,General,RAI4-0671,G_Others_029,L1_G,G_Others,ACTIVE
SRC-G-0020,General,RAI4-0850,G_SOC_GOV_007,L1_G,G_SOC_GOV,ACTIVE
SRC-G-0021,General,RAI4-0166,G_SYS_OEXT_017,L1_G,G_SYS_OEXT,ACTIVE
SRC-G-0022,General,RAI4-0195,P_Others_004,L1_P,P_Others,ACTIVE
SRC-G-0023,General,RAI4-0471,G_SYS_OEXT_003,L1_G,G_SYS_OEXT,ACTIVE
SRC-G-0024,General,RAI4-1006,G_Others_076,L1_G,G_Others,ACTIVE
SRC-G-0025,General,RAI4-0635,G_SYS_MISINFO_010,L1_G,G_SYS_MISINFO,ACTIVE
SRC-G-0026,General,RAI4-0792,G_SYS_MISINFO_010,L1_G,G_SYS_MISINFO,MERGED
SRC-G-0027,General,RAI4-0793,G_Others_039,L1_G,G_Others,SPLIT
SRC-G-0027,General,RAI4-0793,G_SYS_MISINFO_011,L1_G,G_SYS_MISINFO,SPLIT
