Role,Path,Rows,Columns,SHA256
IMMUTABLE_L3_MASTER,03_outputs/release/L1_L2_L3_Master.csv,49,22,e9439ced64fb49c1496f1955013b5f038ecc7d271b9d6c9704f1e1bf6b0094df
BASELINE_DECISION_LEDGER,05_human_review_round2/Human_Review_Round2_Decision_Ledger.csv,808,19,28613d059907c48bff3d5a45303ad1e576a7131bf85dc1f6a4a2f28bf21d5565
GENERAL_BASELINE_INPUT,03_outputs/release/L4_General.csv,599,65,b5f0225bc0a629e1d6eeaeeaa29e681497d627ae0b87b09f88eb0a0af8bb69a9
GENERAL_ROUND2_REVIEW_SOURCE,00_source_snapshot/csv/L4_General_Human_Review_Round2_KTSPACE_932056034_20260828.csv,599,14,7877908e46f41e5b4735945697208fad026fc67c6e255d21ea03b07ffb1f1f37
GENERAL_BASELINE_APPLIED_OUTPUT,05_human_review_round2/L4_General_Human_Review_Round2_Applied.csv,630,65,1294906fd5581228fb523ce7ca99a5cd820a617fbc2c68d61051f2340b2f429a
AGENTIC_BASELINE_INPUT,03_outputs/release/L4_Agentic.csv,90,65,4390fbac70a3d29d96b2aedd7ffa6716970285467afd21996138bb53ece47773
AGENTIC_ROUND2_REVIEW_SOURCE,00_source_snapshot/csv/L4_Agentic_Human_Review_Round2_KTSPACE_931437538_20260828.csv,90,11,70fa329299d3b1e0b5d9cd1b182c395d1d66b1aebd73849877345184b0d2f4f0
AGENTIC_BASELINE_APPLIED_OUTPUT,05_human_review_round2/L4_Agentic_Human_Review_Round2_Applied.csv,74,65,b2ba05c01efaec28bfef92b965a27400ffaa1dd692328c0c83ed943a5066f783
PHYSICAL_BASELINE_INPUT,03_outputs/release/L4_Physical.csv,119,65,23a4a3b714e6864a0d975d556284e1ef93512cf78f580ba710a4c299b3b93949
PHYSICAL_ROUND2_REVIEW_SOURCE,00_source_snapshot/csv/L4_Physical_Human_Review_Round2_KTSPACE_930753013_20260828.csv,119,9,7f65e49a7da586b82031aa64ec1ea9467634006e2779687c67f7a1f3b016f67b
PHYSICAL_BASELINE_APPLIED_OUTPUT,05_human_review_round2/L4_Physical_Human_Review_Round2_Applied.csv,94,65,427863e237442e3439bf99b0612cd50c1577a92b81d70b6d28509dcc21419916
