Register_ID,Action,Status,Output_Keys
HR2-0226,DELETE,APPLIED,
HR2-0230,DELETE,APPLIED,
HR2-0232,DELETE,APPLIED,
HR2-0235,DELETE,APPLIED,
HR2-0246,DELETE,APPLIED,
HR2-0280,DELETE,APPLIED,
HR2-0286,DELETE,APPLIED,
HR2-0310,DELETE,APPLIED,
HR2-0329,DELETE,APPLIED,
HR2-0340,DELETE,APPLIED,
HR2-0342,DELETE,APPLIED,
HR2-0380,DELETE,APPLIED,
HR2-0382,DELETE,APPLIED,
HR2-0668,DELETE,ALREADY_DELETED,
HR2-0005,MERGE,APPLIED,K0545|K0546
HR2-0247,MERGE,APPLIED,K0207MP_SYS_CONTROL
HR2-0250,MERGE,APPLIED,K0210MA_SYS_GOAL
HR2-0251,MERGE,APPLIED,K0210MA_SYS_GOAL
HR2-0264,MERGE,APPLIED,K0210MA_SYS_GOAL
HR2-0273,MERGE,APPLIED,K0591MG_SYS_EVAL
HR2-0293,MERGE,APPLIED,K0210MA_SYS_GOAL
HR2-0313,MERGE,APPLIED,K0569
HR2-0317,MERGE,APPLIED,K0405
HR2-0459,MERGE,APPLIED,K0591MG_SYS_EVAL
HR2-0496,MERGE,APPLIED,K0207MP_SYS_CONTROL
HR2-0608,MERGE,APPLIED,K0702
HR2-0609,MERGE,APPLIED,K0702
HR2-0635,MERGE,APPLIED,K0659
HR2-0004,SPLIT,APPLIED,K0569|K0569SG_SOC_CULT|K0569SG_SYS_INPUT
HR2-0009,REMAP,APPLIED,K0005
HR2-0012,REMAP,APPLIED,K0007
HR2-0016,REMAP,APPLIED,K0011
HR2-0017,REMAP,APPLIED,K0012
HR2-0021,SPLIT,APPLIED,K0549|K0550|K0551|K0552
HR2-0027,SPLIT,APPLIED,K0022|K0553
HR2-0070,SPLIT,APPLIED,K0550|K0558
HR2-0082,SPLIT,APPLIED,K0575SG_INT_REPR|K0575SG_INT_ALLOC
HR2-0130,REMAP,APPLIED,K0633
HR2-0133,REMAP,APPLIED,K0102
HR2-0142,REMAP,APPLIED,K0111
HR2-0143,REWRITE_KEEP,APPLIED,K0577
HR2-0151,SPLIT,APPLIED,K0579|K0579SG_INT_REPR|K0579SG_INT_UNETH
HR2-0200,REMAP,APPLIED,K0162
HR2-0202,REMAP,APPLIED,K0164
HR2-0203,REMAP,APPLIED,K0165
HR2-0204,REWRITE_KEEP,APPLIED,K0166
HR2-0205,REWRITE_KEEP,APPLIED,K0167
HR2-0206,REMAP,APPLIED,K0168
HR2-0208,REMAP,APPLIED,K0170
HR2-0209,REWRITE_KEEP,APPLIED,K0171
HR2-0211,SPLIT,APPLIED,K0173SG_INT_REPR|K0173SG_SOC_CULT
HR2-0212,REMAP,APPLIED,K0174
HR2-0215,REMAP,APPLIED,K0177
HR2-0216,REMAP,APPLIED,K0178
