old_l4_id,new_l4_id,relation
RAI4-0124,RAI4-1727,merged_into
RAI4-0148,RAI4-1728,merged_into
RAI4-0453,RAI4-1727,merged_into
RAI4-0454,RAI4-1728,merged_into
RAI4-0479,RAI4-1729,merged_into
RAI4-0732,RAI4-1730,merged_into
RAI4-0738,RAI4-1731,merged_into
RAI4-0749,RAI4-1731,merged_into
RAI4-0750,RAI4-1730,merged_into
RAI4-1201,RAI4-1732,merged_into
RAI4-1202,RAI4-1732,merged_into
RAI4-1360,RAI4-1733,merged_into
RAI4-1427,RAI4-1734,merged_into
RAI4-1428,RAI4-1734,merged_into
RAI4-1597,RAI4-1733,merged_into
RAI4-1669,RAI4-1729,merged_into
