tau,n_cards,reduction,pct,multi,singleton,largest,crossL3,crossL1,dnm_violations,golden_pos_captured
0.6,370,1290,77.7,342,28,20,297,143,4,8/8
0.61,407,1253,75.5,372,35,14,318,144,4,8/8
0.62,445,1215,73.2,398,47,14,331,145,4,8/8
0.63,484,1176,70.8,413,71,14,334,142,4,8/8
0.64,525,1135,68.4,432,93,14,343,140,4,8/8
0.65,567,1093,65.8,453,114,14,351,134,4,8/8
0.66,616,1044,62.9,471,145,14,357,133,4,8/8
0.67,677,983,59.2,487,190,14,354,127,4,8/8
0.68,728,932,56.1,504,224,14,353,125,4,8/8
0.69,785,875,52.7,509,276,10,345,119,4,8/8
0.7,844,816,49.2,510,334,8,341,115,4,8/8
0.71,909,751,45.2,492,417,8,322,110,4,8/8
0.72,980,680,41.0,474,506,8,293,101,4,8/8
0.73,1036,624,37.6,458,578,8,283,95,4,8/8
0.74,1101,559,33.7,423,678,7,258,87,4,8/8
0.75,1172,488,29.4,390,782,5,233,76,4,8/8
0.76,1233,427,25.7,346,887,5,205,64,4,8/8
0.77,1308,352,21.2,294,1014,5,172,54,4,8/8
0.78,1371,289,17.4,249,1122,5,145,40,4,8/8
0.79,1420,240,14.5,215,1205,4,122,28,4,8/8
0.8,1458,202,12.2,188,1270,4,100,25,4,8/8
0.81,1507,153,9.2,146,1361,4,72,16,4,8/8
0.82,1545,115,6.9,109,1436,4,54,11,4,8/8
0.83,1579,81,4.9,77,1502,4,39,6,4,8/8
0.84,1607,53,3.2,53,1554,2,27,2,4,8/8
0.85,1621,39,2.3,39,1582,2,19,2,4,8/8
0.86,1631,29,1.7,29,1602,2,12,2,4,8/8
0.87,1644,16,1.0,16,1628,2,7,1,4,8/8
0.88,1648,12,0.7,12,1636,2,5,1,4,8/8
0.89,1650,10,0.6,10,1640,2,4,1,3,7/8
0.9,1653,7,0.4,7,1646,2,3,1,3,4/8
0.91,1655,5,0.3,5,1650,2,3,1,2,3/8
0.92,1658,2,0.1,2,1656,2,2,1,1,1/8
0.93,1658,2,0.1,2,1656,2,2,1,1,1/8
0.94,1658,2,0.1,2,1656,2,2,1,1,1/8
0.95,1660,0,0.0,0,1660,1,0,0,0,0/8
0.96,1660,0,0.0,0,1660,1,0,0,0,0/8
0.97,1660,0,0.0,0,1660,1,0,0,0,0/8
0.98,1660,0,0.0,0,1660,1,0,0,0,0/8
0.99,1660,0,0.0,0,1660,1,0,0,0,0/8
